Gene ID	Gene Name	Design Element	g2_g1.p-value	g2_g1.t-statistic	g2_g1.log2foldchange	g4_g3.p-value	g4_g3.t-statistic	g4_g3.log2foldchange
ENSG00000004478	FKBP4	g4503728_3p_a_at	NA	1.94407962388213	1.3	0.503106834154992	1.30503845230438	0.6
ENSG00000004487	KDM1A	Hs.174174.0.A1_3p_s_at	NA	0.254890810291826	0	NA	-1.01368688253167	-0.1
ENSG00000004534	RBM6	g5032032_3p_at	NA	2.75226520470248	0.9	NA	1.06297517831585	0.2
ENSG00000004660	CAMKK1	g13276654_3p_at	NA	0.758359773313994	0.3	NA	-1.61580190497258	-0.7
ENSG00000004700	RECQL	Hs.192570.1.A2_3p_at	NA	0.739023149655196	0.4	NA	1.00978548573311	0.3
ENSG00000004766	VPS50	Hs.12244.1.S1_3p_at	0.0498450863836034	3.19261382229629	3.4	0.244975390628358	2.57754053149248	1.5
ENSG00000004776	HSPB6	Hs.332742.0.S1_3p_s_at	NA	-3.25558558405205	-0.7	NA	-0.232304792899002	-0.1
ENSG00000004777	ARHGAP33	Hs.21036.0.S1_3p_at	NA	0.28869013733368	0.1	NA	1.47846226493688	0.2
ENSG00000004779	NDUFAB1	g4826851_3p_at	NA	2.88320459559136	1.7	0.714454201839956	0.697155638957311	0.6
ENSG00000004799	PDK4	Hs2.407131.1.S1_3p_x_at	NA	-0.223600285752753	-0.1	NA	0.444975896326433	0.1
ENSG00000004809	SLC22A16	Hs.191996.0.S1_3p_s_at	NA	-2.08666589244689	-0.6	NA	-1.39373941364922	-0.3
ENSG00000004838	ZMYND10	Hs.167380.2.S1_3p_a_at	NA	-3.49495126865259	-0.7	NA	-0.115500120939055	0
ENSG00000004846	ABCB5	Hs.310735.0.A1_3p_at	NA	-1.3688299155133	-0.5	NA	-1.15245685312173	-0.3
ENSG00000004848	ARX	Hs.103538.0.S1_3p_at	NA	0.235943199884549	0.1	NA	0.450003178948169	0.2
ENSG00000004864	SLC25A13	g7657580_3p_at	NA	2.49196544507195	1.4	0.174688549969421	3.48474551303566	2
ENSG00000004866	ST7	g11761623_3p_a_at	NA	0.748309528283525	0.3	NA	0.961999607669859	0.3
ENSG00000004897	CDC27	Hs.172405.0.S3_3p_at	NA	1.79940336826636	1	NA	1.39088142057582	0.6
ENSG00000004939	SLC4A1	Hs.185923.0.S2_3p_at	NA	-0.520691361707051	-0.1	NA	0.536749439008732	0.1
ENSG00000004948	CALCR	g4502546_3p_a_at	NA	1.38761218609174	1	0.205353486646377	3.02029790452023	2.8
ENSG00000004961	HCCS	g4885400_3p_a_at	NA	1.13833753192409	0.8	0.792470345390073	0.518215921368303	0.3
ENSG00000004975	DVL2	4851107C_3p_at	NA	0.240191653800018	0.1	NA	-0.666822960891663	-0.2
ENSG00000005001	PRSS22	g11545838_3p_at	NA	-2.13799907630785	-0.7	NA	-1.10251308731702	-0.3
ENSG00000005007	UPF1	g1944406_3p_a_at	NA	0.378491362194969	0.1	NA	-1.3524648709909	-0.6
ENSG00000005020	SKAP2	g4506962_3p_x_at	NA	1.74752330719438	0.4	NA	0.24001265956835	0.1
ENSG00000005022	SLC25A5	g4502098_3p_at	NA	2.45289683279009	1.8	0.823613027517799	0.442855570272012	0.4
ENSG00000005059	MCUB	g8923601_3p_at	NA	1.06336210112418	0.2	NA	1.529597037492	0.5
ENSG00000005073	HOXA11	Hs.17882.0.A1_3p_at	NA	-2.26141442947748	-0.6	NA	0.692378716774795	0.1
ENSG00000005075	POLR2J	Hs.80475.1.S1_3p_x_at	NA	-1.75115905139596	-0.5	NA	-0.0902618902958256	0
ENSG00000005100	DHX33	Hs.250456.0.S2_3p_at	NA	3.13735535104425	0.5	NA	0.574440590856462	0.2
ENSG00000005102	MEOX1	g4758709_3p_a_at	NA	-0.379124224248369	0	NA	0.513605200562518	0.1
ENSG00000005108	THSD7A	Hs.29900.0.S1_3p_x_at	NA	3.69502516889931	1.4	0.48731216882803	1.35152365961923	1.2
ENSG00000005156	LIG3	g7710125_3p_at	NA	-1.88513321899551	-0.4	NA	0.19649904778926	0
ENSG00000005175	RPAP3	g13375808_3p_at	NA	2.50321043103687	1.3	NA	2.3119968290685	0.4
ENSG00000005187	ACSM3	g471131_3p_at	NA	0.632772067344881	0.1	NA	1.3656567845661	0.3
ENSG00000005189	REXO5	g13569912_3p_s_at	NA	-0.056181046198382	0	NA	0.114325414786056	0
ENSG00000005194	CIAPIN1	g12803484_3p_a_at	NA	2.12220420054473	1.3	NA	3.31042270601796	1
ENSG00000005206	SPPL2B	Hs.284161.1.A1_3p_a_at	NA	-0.369221660091367	-0.1	NA	-0.890858067961189	-0.2
ENSG00000005238	FAM214B	g13093772_3p_a_at	NA	-0.740804220205811	-0.3	NA	0.251490438947582	0.1
ENSG00000005243	COPZ2	g7705982_3p_at	NA	-2.03826330765647	-0.5	NA	-2.28922416403376	-0.4
ENSG00000005249	PRKAR2B	g4506064_3p_at	0.0498450863836034	2.9072805601027	2.7	0.141924170323029	4.09273682582405	2.4
ENSG00000005302	MSL3	g5803103_3p_a_at	NA	2.84543693903357	1.6	NA	1.27034464324394	0.5
ENSG00000005339	CREBBP	g4758055_3p_at	NA	1.78366940475154	0.7	NA	0.266306877995811	0.1
ENSG00000005379	TSPOAP1	g4758955_3p_a_at	NA	1.62317116812811	1	0.807006029115498	0.484774788663048	0.3
ENSG00000005381	MPO	g189039_3p_a_at	NA	-2.35141630116542	-0.4	NA	-1.31709116066903	-0.3
ENSG00000005421	PON1	g4505950_3p_a_at	NA	-0.733697682809309	-0.2	NA	0.877389064678459	0.1
ENSG00000005436	GCFC2	g12654086_3p_at	NA	1.17733436418138	0.2	NA	0.564854394960257	0.1
ENSG00000005448	WDR54	Hs.323537.0.S1_3p_at	NA	2.18894660380112	2	0.46774181220176	1.41339098861754	0.9
ENSG00000005469	CROT	g10863952_3p_at	NA	2.19196998458298	1	NA	-0.450292845636737	-0.1
ENSG00000005471	ABCB4	g9961253_3p_a_at	NA	-1.98544074818901	-0.5	NA	-0.259468065943112	0
ENSG00000005483	KMT2E	Hs.182278.3.S1_3p_s_at	NA	2.17967696540729	0.5	NA	-3.51566711711133	-1
ENSG00000005486	RHBDD2	g9963864_3p_s_at	NA	2.42641373495577	0.6	NA	2.47598372750794	0.4
ENSG00000005513	SOX8	Hs.243678.0.S1_3p_a_at	NA	-2.57552362027295	-1.4	0.349043817217366	-1.89684874903902	-0.9
ENSG00000005700	IBTK	g11036533_3p_a_at	NA	2.11472254894473	1.2	0.239491193175294	2.68467842591767	1.1
ENSG00000005801	ZNF195	Hs.104382.0.S1_3p_a_at	NA	0.521579785220929	0.4	0.807499082261261	0.482702536054321	0.5
ENSG00000005810	MYCBP2	g7662379_3p_a_at	NA	2.77804048558702	1.5	NA	0.235317356552949	0.1
ENSG00000005812	FBXL3	Hs.7540.0.S1_3p_at	NA	2.70890687895269	1.8	NA	2.08997582005653	0.4
ENSG00000005844	ITGAL	Hs2.174103.2.S1_3p_x_at	NA	-0.461968414893818	-0.3	NA	-0.71502287887494	-0.3
ENSG00000005882	PDK2	Hs.92261.1.A1_3p_s_at	NA	-2.33831958435235	-0.4	NA	-2.45844418511265	-0.5
ENSG00000005884	ITGA3	g4504746_3p_a_at	NA	-0.218260416842052	-0.1	NA	-0.787869739493392	-0.2
ENSG00000005889	ZFX	Hs.53455.0.A1_3p_at	NA	0.081715178990155	0	NA	-1.56462349781025	-0.2
ENSG00000005893	LAMP2	g7669502_3p_at	NA	2.75137036250028	0.7	NA	-0.655430396308639	-0.2
ENSG00000005961	ITGA2B	g6006009_3p_at	NA	-1.78986805602148	-0.5	NA	-0.252250384286794	-0.1
ENSG00000005981	ASB4	235619_3p_at	NA	1.0402270642553	0.4	NA	3.4683063634059	1
ENSG00000006007	GDE1	Hs.183684.1.A1_3p_at	NA	0.709421951369632	0.3	NA	1.35035614572971	0.5
ENSG00000006015	REX1BD	g8923696_3p_s_at	NA	0.414552950560939	0.2	NA	-0.0553536782526663	0
ENSG00000006016	CRLF1	g4758061_3p_at	NA	-2.77759648772369	-0.6	NA	-0.578457730731936	-0.2
ENSG00000006025	OSBPL7	Hs.274370.2.S1_3p_at	NA	0.473262080488095	0.1	NA	0.573362639291359	0.2
ENSG00000006042	TMEM98	g4530586_3p_at	NA	0.24837198956975	0	NA	0.426803029630929	0.2
ENSG00000006047	YBX2	g7705750_3p_at	NA	-3.40898777192589	-0.6	NA	-1.60669455993537	-0.2
ENSG00000006059	KRT33A	g4758659_3p_at	NA	-0.997182788029406	-0.1	NA	-0.565580652132729	-0.1
ENSG00000006062	MAP3K14	g4505396_3p_at	NA	-0.93950164219828	-0.6	NA	0.142594061905943	0.1
ENSG00000006071	ABCC8	g3643189_3p_at	NA	2.04900872275657	0.8	0.737345502428484	-0.648911587851196	-0.4
ENSG00000006116	CACNG3	g5729755_3p_at	NA	1.11298855267417	0.5	0.271713335367788	2.36928584574976	1.3
ENSG00000006118	TMEM132A	g8923509_3p_a_at	NA	-2.07229871159714	-0.3	NA	0.697671482111561	0.2
ENSG00000006125	AP2B1	g4557468_3p_a_at	NA	2.46121035739517	1.4	0.512001886120914	1.28030757052793	0.7
ENSG00000006128	TAC1	g4507340_3p_a_at	0.0499951971065529	2.8423671801992	4.6	0.339458804801367	1.96304686515881	4
ENSG00000006194	ZNF263	g5032240_3p_at	NA	3.24662856525586	1.1	NA	-0.183829245963819	-0.1
ENSG00000006210	CX3CL1	g4506856_3p_s_at	NA	1.98781484303769	0.9	NA	-0.866205142839016	-0.4
ENSG00000006282	SPATA20	g12383067_3p_at	NA	-0.921547962638638	-0.4	NA	-0.418459116693428	-0.1
ENSG00000006283	CACNA1G	g7159272_3p_a_at	NA	-3.84356636658981	-1	NA	-2.0590378135587	-0.5
ENSG00000006327	TNFRSF12A	g7706185_3p_a_at	NA	-0.624439639316329	-0.2	NA	-1.21713163592859	-0.3
ENSG00000006377	DLX6	Hs.12744.0.A1_3p_at	NA	-1.17167461938439	-0.3	NA	-1.05095106104435	-0.3
ENSG00000006432	MAP3K9	Hs.258964.0.S1_3p_at	NA	-0.94621484858704	-0.2	NA	-0.720639832659886	-0.2
ENSG00000006451	RALA	Hs.6906.0.A1_3p_at	NA	2.30646002209783	1.4	NA	3.21504899956613	0.9
ENSG00000006453	BAIAP2L1	Hs.23449.1.S1_3p_a_at	NA	-1.20753491364469	-0.2	NA	-0.718432711510467	-0.2
ENSG00000006459	KDM7A	Hs.222707.0.A2_3p_at	NA	1.89821995137667	0.5	NA	2.14112841865689	0.4
ENSG00000006468	ETV1	Hs.89566.1.S1_3p_a_at	NA	-1.9838219921329	-0.5	NA	-1.69255124558622	-0.3
ENSG00000006530	AGK	Hs.260238.2.S1_3p_a_at	NA	1.70674122668703	0.8	0.465784281381383	1.41788998983904	0.7
ENSG00000006534	ALDH3B1	Hs2.407070.1.S1_3p_at	NA	-0.876772357558539	-0.2	NA	-0.708291445245985	-0.1
ENSG00000006555	TTC22	g8923572_3p_at	NA	-0.916037453686325	-0.1	NA	-2.07690009433242	-0.5
ENSG00000006576	PHTF2	g12053266_3p_at	NA	2.5407692673686	1.3	NA	-1.60545758700837	-0.3
ENSG00000006606	CCL26	g6456875_3p_at	NA	-2.15298339403594	-0.3	NA	0.149246491926157	0
ENSG00000006607	FARP2	g7662309_3p_at	NA	-0.546104768821292	-0.2	NA	-2.68150992267213	-0.6
ENSG00000006611	USH1C	g5152287_3p_a_at	NA	-1.50243625519869	-0.3	NA	-2.3911367339334	-0.4
ENSG00000006625	GGCT	Hs.288649.2.S1_3p_a_at	NA	2.024109404965	1.9	0.599510865436371	1.01244852613652	0.6
ENSG00000006638	TBXA2R	g862993_3p_s_at	NA	-2.41905892131403	-0.6	NA	-1.29610455529479	-0.3
ENSG00000006652	IFRD1	Hs.116110.0.A1_3p_at	NA	-0.60132183221108	-0.1	NA	-0.60016555411207	-0.1
ENSG00000006659	LGALS14	g9910347_3p_at	NA	-3.46354942772456	-0.5	NA	-1.56429187282609	-0.3
ENSG00000006695	COX10	g4502978_3p_s_at	NA	0.722322244210801	0.2	NA	0.209956843464449	0
ENSG00000006695	COX10	Hs2.382182.1.S1_3p_at	NA	-0.999944585777716	-0.3	NA	0.284949820095609	0.1
ENSG00000006704	GTF2IRD1	g7705386_3p_a_at	NA	1.71888855996135	1	NA	0.411977696646005	0.1
ENSG00000006712	PAF1	g9506582_3p_a_at	NA	1.34017470843324	1.1	NA	0.52549593213403	0.2
ENSG00000006715	VPS41	g12002285_3p_a_at	NA	2.61942768499102	1.5	NA	1.34062495038305	0.6
ENSG00000006740	ARHGAP44	Hs.6336.2.S1_3p_x_at	NA	0.915904899620833	0.4	NA	-0.635568956884767	-0.2
ENSG00000006744	ELAC2	g11875212_3p_at	NA	2.21118692178346	1.3	NA	1.1301581598726	0.5
ENSG00000006747	SCIN	Hs2.210473.1.S2_3p_at	NA	-0.00409725439466249	0	NA	0.240567135156646	0
ENSG00000006756	ARSD	Hs.19978.5.S2_3p_at	NA	0.159161596560155	0.1	NA	-0.0161613216341144	0
ENSG00000006757	PNPLA4	g458225_3p_a_at	NA	-0.251488152094323	-0.1	0.986063194311352	0.0344894745568936	0
ENSG00000006788	MYH13	g11321578_3p_at	NA	-1.50850663267434	-0.3	NA	0.17385644694936	0
ENSG00000006831	ADIPOR2	g13375714_3p_at	NA	-0.629473025703003	-0.2	NA	-1.47011048880575	-0.4
ENSG00000006837	CDKL3	Hs.192773.0.A1_3p_at	NA	0.550594071889815	0.1	0.683060706533922	0.785169962770645	0.4
ENSG00000007001	UPP2	Hs.128427.1.S1_3p_at	NA	-1.34426232801198	-0.2	NA	-0.107061426024085	0
ENSG00000007038	PRSS21	g5803196_3p_at	NA	-1.55486073937756	-0.2	0.511101545219659	1.2819434181354	0.6
ENSG00000007047	MARK4	g13366083_3p_s_at	NA	0.0761691916140707	0	NA	-0.729272907303854	-0.1
ENSG00000007062	PROM1	g5174386_3p_a_at	NA	-0.205153867229554	0	0.293639561850673	2.20354210748414	1.1
ENSG00000007080	CCDC124	Hs.100043.0.S1_3p_at	NA	-2.83903155862018	-0.5	NA	-0.656538040923047	-0.1
ENSG00000007129	CEACAM21	Hs.230424.0.S1_3p_x_at	NA	-0.651829859911005	-0.1	NA	0.498782525295177	0.2
ENSG00000007168	PAFAH1B1	g6031206_3p_a_at	NA	3.36326967866032	2	0.532681486738765	1.21269769732263	0.7
ENSG00000007171	NOS2	g404048_3p_a_at	NA	-1.55103091453466	-0.2	NA	-0.421087755187662	-0.1
ENSG00000007174	DNAH9	Hs.98467.0.A1_3p_at	NA	1.18382674423364	0.7	NA	-0.232556373284593	-0.1
ENSG00000007202	KIAA0100	g7661903_3p_a_at	NA	0.57341416737196	0.3	NA	0.669020860348253	0.3
ENSG00000007216	SLC13A2	g4506978_3p_at	NA	-3.35318220080939	-1.1	NA	-0.688340460841262	-0.3
ENSG00000007237	GAS7	Hs.226133.0.S2_3p_a_at	NA	0.715153890761969	0.4	0.990189805275441	0.0230073669960146	0
ENSG00000007255	TRAPPC6A	g13129119_3p_x_at	NA	-0.547788060668267	-0.1	NA	0.724272961218288	0.2
ENSG00000007264	MATK	g4505108_3p_a_at	NA	-2.0068098473895	-0.4	NA	-0.79123347878834	-0.2
ENSG00000007306	CEACAM7	g5901929_3p_at	NA	-0.630911679647971	-0.1	NA	-1.51078503598734	-0.3
ENSG00000007312	CD79B	Hs2Affx.1.452.S1_3p_x_at	NA	-0.325437042248823	0	NA	1.03687203740932	0.2
ENSG00000007314	SCN4A	g4506806_3p_at	NA	-2.03726216144364	-0.3	NA	-1.28134743522176	-0.3
ENSG00000007341	ST7L	Hs.191228.1.S1_3p_a_at	NA	-2.59771687310939	-0.5	NA	-1.12417448856133	-0.2
ENSG00000007350	TKTL1	Hs.102866.1.S1_3p_a_at	NA	-1.72266489313956	-0.3	NA	-1.1543470742674	-0.3
ENSG00000007372	PAX6	g4505614_3p_s_at	NA	-1.62326876588717	-0.5	0.180746458600222	-3.40059988722738	-1.6
ENSG00000007376	RPUSD1	Hs.101742.0.S1_3p_at	NA	-0.473874718016611	-0.2	NA	-0.339061459058863	-0.1
ENSG00000007384	RHBDF1	g11967982_3p_a_at	NA	-1.98232290915797	-0.7	NA	-3.39458621089541	-1.1
ENSG00000007392	LUC7L	g10834837_3p_a_at	NA	2.82378232039697	0.6	NA	1.15127895003489	0.3
ENSG00000007402	CACNA2D2	g5174402_3p_a_at	NA	2.29138846369503	1.4	0.508971069640452	1.28847499245331	0.8
ENSG00000007516	BAIAP3	Hs.101516.2.S1_3p_s_at	NA	0.567910850337021	0.1	0.7785594628687	0.55202352991895	0.3
ENSG00000007520	TSR3	Hs.134846.0.S1_3p_s_at	NA	1.63680301233082	1.1	NA	-0.75542215069729	-0.2
ENSG00000007541	PIGQ	g4758465_3p_s_at	NA	-0.646605266123621	-0.2	NA	-0.400539024694919	-0.1
ENSG00000007545	CRAMP1	Hs.15441.0.A1_3p_at	NA	-0.995379063050127	-0.3	NA	-0.223082876266511	-0.1
ENSG00000007866	TEAD3	g4755000_3p_a_at	NA	-2.52908909673338	-0.5	NA	-1.62163935650202	-0.2
ENSG00000007908	SELE	g4506870_3p_at	NA	-2.10818840613956	-1.6	NA	0.392035306753324	0.1
ENSG00000007923	DNAJC11	Hs.261134.1.S1_3p_a_at	NA	-0.532228778365852	-0.2	0.307753721695648	-2.12641992754502	-0.9
ENSG00000007933	FMO3	g6325466_3p_at	NA	-1.53231219644222	-0.9	NA	0.602367314834707	0.3
ENSG00000007944	MYLIP	g9437508_3p_a_at	NA	1.18523296998706	1.2	0.780867723569395	0.546653315252538	0.6
ENSG00000007952	NOX1	g6631096_3p_x_at	NA	-1.671759176299	-0.2	NA	-0.75161149750165	-0.1
ENSG00000007968	E2F2	g4758225_3p_at	NA	-2.77235024966268	-0.8	NA	-0.958473406330047	-0.2
ENSG00000008018	PSMB1	g4506192_3p_a_at	NA	1.43357428056308	0.9	0.244975390628358	2.58172844705546	1.2
ENSG00000008056	SYN1	Hs.225936.0.S2_3p_at	NA	2.50021966683058	1.5	NA	0.48482411529897	0.2
ENSG00000008083	JARID2	g11863151_3p_a_at	NA	2.05911810190418	0.9	NA	-1.23844331046893	-0.4
ENSG00000008086	CDKL5	Hs.149376.0.A1_3p_at	NA	-0.514958218062027	-0.1	NA	-0.645997189621726	-0.1
ENSG00000008118	CAMK1G	Hs.199068.1.S1_3p_a_at	NA	-0.619951550087851	-0.1	NA	1.24638329492739	0.2
ENSG00000008130	NADK	g12804578_3p_s_at	NA	-0.390676731911586	-0.1	NA	-0.426369688708586	-0.1
ENSG00000008196	TFAP2B	Hs.33102.1.S1_3p_s_at	NA	-2.2637983369238	-0.3	NA	-0.305818124538279	-0.1
ENSG00000008197	TFAP2D	Hs.247850.0.S1_3p_at	NA	-1.85777399536593	-0.3	NA	0.311564064688897	0.1
ENSG00000008226	DLEC1	g6715589_3p_s_at	NA	-0.557720929111884	-0.1	NA	0.704214531701314	0.1
ENSG00000008256	CYTH3	Hs.7984.0.S1_3p_at	NA	0.0539877449584221	0	NA	-0.109863211858722	0
ENSG00000008277	ADAM22	Hs.256398.0.S1_3p_at	NA	2.45159528590151	1.7	0.931486314478764	0.173955162674515	0.1
ENSG00000008282	SYPL1	g5803184_3p_x_at	NA	0.746166184185455	0.4	NA	-1.19107698533333	-0.5
ENSG00000008283	CYB561	Hs.153028.2.S2_3p_at	NA	2.51262864586053	1.6	NA	3.76213565704352	1
ENSG00000008294	SPAG9	Hs.129872.2.S1_3p_at	0.051412916695779	2.7054347216615	2.3	NA	-0.728953404954592	-0.2
ENSG00000008300	CELSR3	g13325065_3p_s_at	NA	-0.253394719535348	-0.1	NA	0.20088153820847	0
ENSG00000008311	AASS	Hs.323091.0.S1_3p_at	NA	-0.407389809576246	-0.1	NA	-0.549196557768358	-0.2
ENSG00000008323	PLEKHG6	g8922580_3p_a_at	NA	-3.61958728562346	-0.9	NA	-2.54525725306151	-0.5
ENSG00000008324	SS18L2	g10047103_3p_at	NA	2.29927486353942	1.7	NA	0.263236914499679	0.1
ENSG00000008382	MPND	Hs.76925.1.A1_3p_a_at	NA	-1.77556114997675	-0.3	NA	-0.0874866371006906	0
ENSG00000008394	MGST1	Hs.790.2.S1_3p_s_at	NA	-2.60752007947079	-1.1	NA	0.920994443184504	0.2
ENSG00000008405	CRY1	g1304106_3p_at	0.101963003540986	1.91249260963332	1.9	0.304724366602595	2.14224966250533	1.6
ENSG00000008438	PGLYRP1	g4827035_3p_at	NA	-1.1301445704404	-0.3	NA	0.914985892625009	0.2
ENSG00000008441	NFIX	Hs.35841.2.S1_3p_at	NA	-1.63837337555885	-1.1	0.188343187128789	-3.30362600825638	-1.8
ENSG00000008513	ST3GAL1	Hs.293696.0.S2_3p_at	NA	0.724548566355246	0.4	NA	0.57897877978444	0.2
ENSG00000008516	MMP25	g4758727_3p_at	NA	-2.29329111688991	-1.1	NA	-0.340551463927238	-0.1
ENSG00000008517	IL32	g4758811_3p_a_at	NA	0.623098707772084	0.1	NA	-0.627489751098114	-0.2
ENSG00000008710	PKD1	g4505832_3p_a_at	NA	1.35425563955533	0.5	NA	-0.190121611741817	-0.1
ENSG00000008735	MAPK8IP2	g6912491_3p_at	NA	-1.91558822806699	-0.7	NA	-1.842137346503	-0.6
ENSG00000008838	MED24	Hs.23106.1.A1_3p_a_at	NA	0.21537397046965	0	NA	0.04518817202169	0
ENSG00000008853	RHOBTB2	g12667515_3p_x_at	NA	-2.10573772966718	-0.4	NA	-3.08028889903109	-0.5
ENSG00000008869	HEATR5B	Hs.92991.1.S1_3p_a_at	0.0498450863836034	3.28218564887616	2.5	0.605024602340954	1.0015219541019	0.9
ENSG00000008952	SEC62	Hs.99532.0.S1_3p_at	NA	2.47724789772271	1.3	NA	1.4213691908704	0.6
